name,Latitude,Longitude,Number,Street,City,State,County,Zip,url,count,total_homeless,adjusted_homeless
New Life Global Development,34.200774,-118.135682,3323,N Marengo Ave,Altadena,CA,Los Angeles City & County CoC,91001,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15616,63,63706,1011.2063492063492
Via Esperanza,33.843345,-117.909122,626,N Pauline St,Anaheim,CA,"Santa Ana, Anaheim/Orange County CoC",92805,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15269,27,6978,258.44444444444446
Salvation Army Anaheim Emergency Shelter,33.81534,-117.896978,1300,S Lewis St,Anaheim,CA,"Santa Ana, Anaheim/Orange County CoC",92805,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15728,27,6978,258.44444444444446
Santa Ana Lakewood Housing Coalition,33.805454,-117.883449,2400,Katella Ave,Anaheim,CA,"Santa Ana, Anaheim/Orange County CoC",92806,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15802,27,6978,258.44444444444446
Don Brown Shelter,38.015262,-121.823801,1401,W 4th St,Antioch,CA,Richmond/Contra Costa County CoC,94509,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7879,16,2277,142.3125
Arcata House,40.870954,-124.088567,1005,11th St,Arcata,CA,Humboldt County CoC,95521,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14203,4,1701,425.25
ECHO (El Camino Homeless Organization),35.485799,-120.670082,6370,Atascadero Ave,Atascadero,CA,San Luis Obispo County CoC,93422,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20427,2,1423,711.5
Auburn Temporary Homeless Shelter,38.936366,-121.104266,11442,E Ave W,Auburn,CA,"Roseville, Rocklin/Placer County CoC",95603,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14389,1,744,744.0
The Mission At Kern County,35.37551,-118.990876,816,E 21st St,Bakersfield,CA,Bakersfield/Kern County CoC,93305,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11782,5,1580,316.0
Bakersfield Homeless Center,35.373507,-118.979079,1600,E Truxtun Ave,Bakersfield,CA,Bakersfield/Kern County CoC,93305,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9622,5,1580,316.0
Transitional Housing Center Bakersfield,35.405108,-119.025379,100,S Plymouth Ave,Bakersfield,CA,Bakersfield/Kern County CoC,93308,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14588,5,1580,316.0
