,Latitude,Longitude,Number,Street,City,State,County,Zip,url
120,34.200774,-118.135682,3323,N Marengo Ave,Altadena,CA,Los Angeles County,91001,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15616
155,33.843345,-117.909122,626,N Pauline St,Anaheim,CA,Orange County,92805,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15269
162,33.81534,-117.896978,1300,S Lewis St,Anaheim,CA,Orange County,92805,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15728
164,33.805454,-117.883449,2400,Katella Ave,Anaheim,CA,Orange County,92806,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=15802
218,38.015262,-121.823801,1401,W 4th St,Antioch,CA,Contra Costa County,94509,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7879
256,40.870954,-124.088567,1005,11th St,Arcata,CA,Humboldt County,95521,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14203
263,35.485799,-120.670082,6370,Atascadero Ave,Atascadero,CA,San Luis Obispo County,93422,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=20427
264,38.936366,-121.104266,11442,E Ave W,Auburn,CA,Placer County,95603,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14389
271,35.37551,-118.990876,816,E 21st St,Bakersfield,CA,Kern County,93305,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=11782
272,35.373507,-118.979079,1600,E Truxtun Ave,Bakersfield,CA,Kern County,93305,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=9622
273,35.405108,-119.025379,100,S Plymouth Ave,Bakersfield,CA,Kern County,93308,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14588
274,35.412712,-119.036792,731,Decatur St,Bakersfield,CA,Kern County,93308,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=14589
281,34.896359,-117.027931,100,W Fredricks St,Barstow,CA,San Bernardino County,92311,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7800
86,38.02618,-121.934429,2279,Willow Pass Rd,Bay Point,CA,Contra Costa County,94565,https://www.homelessshelterdirectory.org/cgi-bin/id/shelter.cgi?shelter=7717
